1/a,f(a),a,E = -1/3a^3,T=(6a^5)^1/2f(a),T1np/T2,T2np/T2,T3np/T2,T4np/T2,T5np/T2,T6np/T2,T7np/T2,T9np/T2,T11np/T2,T13np/T2,T15np/T2,T19np/T2,T27np/T2,T31np/T2,T39np/T2,T47np/T2,T55np/T2,T63np/T2,T79np/T2,T111np/T2,T157np/T2,T997np/T2,T2 = ,3.091140557
0.23000,0.73666,4.34783,-0.0040556670,71.1249,23.0093,46.0186,69.0279,92.0372,115.0464,138.0557,161.0650,207.0836,253.1022,299.1207,345.1393,437.1765,621.2508,713.2879,897.3622,1081.4366,1265.5109,1449.5852,1817.7338,2554.0310,3612.4583,22940.2605,,
0.24000,0.73551,4.16667,-0.0046080000,63.8465,20.6547,41.3093,61.9640,82.6186,103.2733,123.9280,144.5826,185.8920,227.2013,268.5106,309.8199,392.4386,557.6759,640.2945,805.5318,970.7691,1136.0064,1301.2437,1631.7183,2292.6675,3242.7819,20592.6978,,
0.25000,0.73429,4.00000,-0.0052083330,57.5563,18.6198,37.2395,55.8593,74.4791,93.0988,111.7186,130.3383,167.5779,204.8174,242.0569,279.2964,353.7755,502.7336,577.2127,726.1708,875.1289,1024.0870,1173.0451,1470.9613,2066.7937,2923.3028,18563.9038,,
0.26000,0.73299,3.84615,-0.0058586670,52.0884,16.8509,33.7017,50.5526,67.4034,84.2543,101.1052,117.9560,151.6577,185.3595,219.0612,252.7629,320.1664,454.9732,522.3767,657.1836,791.9904,926.7973,1061.6042,1331.2180,1870.4455,2645.5851,16800.3080,,
0.27000,0.73161,3.70370,-0.0065610000,47.3095,15.3049,30.6097,45.9146,61.2194,76.5243,91.8292,107.1340,137.7437,168.3535,198.9632,229.5729,290.7923,413.2312,474.4506,596.8895,719.3284,841.7673,964.2061,1209.0839,1698.8394,2402.8629,15258.9447,,
0.28000,0.73016,3.57143,-0.0073173330,43.1118,13.9469,27.8938,41.8407,55.7876,69.7345,83.6814,97.6283,125.5221,153.4159,181.3097,209.2035,264.9911,376.5663,432.3539,543.9291,655.5043,767.0795,878.6547,1101.8051,1548.1058,2189.6632,13905.0587,,
0.29000,0.72862,3.44828,-0.0081296670,39.4076,12.7486,25.4971,38.2457,50.9942,63.7428,76.4914,89.2399,114.7370,140.2342,165.7313,191.2284,242.2226,344.2111,395.2053,497.1938,599.1823,701.1708,803.1592,1007.1362,1415.0901,2001.5238,12710.3136,,
0.30000,0.72699,3.33333,-0.0090000000,36.1246,11.6865,23.3730,35.0595,46.7460,58.4325,70.1190,81.8055,105.1785,128.5515,151.9244,175.2974,222.0434,315.5354,362.2814,455.7733,549.2653,642.7573,736.2492,923.2332,1297.2010,1834.7799,11651.4364,,
0.31000,0.72528,3.22581,-0.0099303330,33.2032,10.7414,21.4828,32.2242,42.9656,53.7070,64.4484,75.1898,96.6727,118.1555,139.6383,161.1211,204.0867,290.0180,332.9836,418.9148,504.8461,590.7773,676.7086,848.5711,1192.2961,1686.4008,10709.1819,,
0.32000,0.72349,3.12500,-0.0109226670,30.5937,9.8972,19.7945,29.6917,39.5889,49.4861,59.3834,69.2806,89.0750,108.8695,128.6639,148.4584,188.0473,267.2251,306.8140,385.9918,465.1696,544.3474,623.5252,781.8808,1098.5921,1553.8645,9867.5341,,
0.33000,0.72160,3.03030,-0.0119790000,28.2546,9.1405,18.2810,27.4215,36.5620,45.7025,54.8430,63.9835,82.2646,100.5456,118.8266,137.1076,173.6696,246.7937,283.3557,356.4798,429.6038,502.7279,575.8519,722.1000,1014.5962,1435.0595,9113.0851,,
0.34000,0.71963,2.94118,-0.0131013330,26.1508,8.4599,16.9199,25.3798,33.8397,42.2996,50.7596,59.2195,76.1393,93.0592,109.9791,126.8989,160.7386,228.4180,262.2577,329.9372,397.6166,465.2960,532.9754,668.3342,939.0519,1328.2086,8434.5473,,
0.35000,0.71756,2.85714,-0.0142916670,24.2528,7.8459,15.6918,23.5377,31.3836,39.2295,47.0754,54.9213,70.6132,86.3050,101.9968,117.6886,149.0722,211.8395,243.2231,305.9903,368.7576,431.5248,494.2921,619.8266,870.8956,1231.8073,7822.3683,,
0.36000,0.71539,2.77778,-0.0155520000,22.5353,7.2903,14.5806,21.8709,29.1612,36.4515,43.7418,51.0321,65.6127,80.1932,94.7738,109.3544,138.5156,196.8380,225.9992,284.3215,342.6439,400.9662,459.2886,575.9333,809.2228,1144.5764,7268.4244,,
0.37000,0.71313,2.70270,-0.0168843330,20.9769,6.7861,13.5723,20.3584,27.1445,33.9307,40.7168,47.5029,61.0752,74.6475,88.2197,101.7920,128.9365,183.2256,210.3701,264.6592,318.9483,373.2373,427.5264,536.1045,753.2608,1065.4229,6765.7746,,
0.38000,0.71077,2.63158,-0.0182906670,19.5590,6.3274,12.6549,18.9823,25.3098,31.6372,37.9647,44.2921,56.9470,69.6019,82.2568,94.9117,120.2214,170.8410,196.1508,246.7703,297.3899,348.0095,398.6290,499.8681,702.3464,993.4088,6308.4623,,
0.39000,0.70831,2.56410,-0.0197730000,18.2658,5.9091,11.8182,17.7272,23.6363,29.5454,35.4545,41.3636,53.1817,64.9999,76.8181,88.6362,112.2726,159.5452,183.1815,230.4542,277.7269,324.9995,372.2722,466.8175,655.9081,927.7259,5891.3547,,
0.40000,0.70575,2.50000,-0.0213333330,17.0835,5.5266,11.0532,16.5798,22.1064,27.6330,33.1595,38.6861,49.7393,60.7925,71.8457,82.8989,105.0052,149.2180,171.3243,215.5370,259.7498,303.9625,348.1752,436.6007,613.4516,867.6748,5510.0111,,
0.41000,0.70308,2.43902,-0.0229736670,16.0001,5.1761,10.3522,15.5283,20.7044,25.8805,31.0566,36.2327,46.5849,56.9371,67.2893,77.6416,98.3460,139.7548,160.4592,201.8680,243.2769,284.6857,326.0945,408.9122,574.5475,812.6483,5160.5755,,
0.42000,0.70031,2.38095,-0.0246960000,15.0052,4.8543,9.7085,14.5628,19.4170,24.2713,29.1255,33.9798,43.6883,53.3968,63.1053,72.8138,92.2308,131.0648,150.4818,189.3158,228.1498,266.9838,305.8178,383.4858,538.8218,762.1173,4839.6876,,
0.43000,0.69742,2.32558,-0.0265023330,14.0897,4.5581,9.1162,13.6743,18.2323,22.7904,27.3485,31.9066,41.0228,50.1389,59.2551,68.3713,86.6036,123.0683,141.3006,177.7653,214.2299,250.6946,287.1593,360.0886,505.9473,715.6191,4544.4093,,
0.44000,0.69443,2.27273,-0.0283946670,13.2456,4.2850,8.5700,12.8551,17.1401,21.4251,25.7101,29.9951,38.5652,47.1352,55.7052,64.2753,81.4153,115.6955,132.8356,167.1157,201.3959,235.6760,269.9561,338.5164,475.6370,672.7479,4272.1632,,
0.45000,0.69132,2.22222,-0.0303750000,12.4659,4.0328,8.0656,12.0983,16.1311,20.1639,24.1967,28.2295,36.2950,44.3606,52.4261,60.4917,76.6228,108.8851,125.0162,157.2784,189.5407,221.8029,254.0651,318.5896,447.6386,633.1464,4020.6815,,
0.46000,0.68809,2.17391,-0.0324453330,11.7444,3.7994,7.5987,11.3981,15.1974,18.9968,22.7962,26.5955,34.1942,41.7930,49.3917,56.9904,72.1879,102.5827,117.7802,148.1751,178.5700,208.9649,239.3597,300.1495,421.7291,596.4997,3787.9630,,
0.47000,0.68475,2.12766,-0.0346076670,11.0755,3.5830,7.1660,10.7490,14.3319,17.9149,21.4979,25.0809,32.2469,39.4128,46.5788,53.7448,68.0767,96.7406,111.0726,139.7364,168.4003,197.0642,225.7281,283.0559,397.7114,562.5288,3572.2368,,
0.48000,0.68129,2.08333,-0.0368640000,10.4545,3.3821,6.7642,10.1462,13.5283,16.9104,20.2925,23.6745,30.4387,37.2029,43.9670,50.7312,64.2595,91.3161,104.8444,131.9010,158.9577,186.0143,213.0709,267.1841,375.4106,530.9862,3371.9315,,
0.49000,0.67770,2.04082,-0.0392163330,9.8769,3.1952,6.3905,9.5857,12.7809,15.9762,19.1714,22.3666,28.7571,35.1476,41.5381,47.9285,60.7095,86.2713,99.0523,124.6142,150.1760,175.7379,201.2998,252.4236,354.6711,501.6519,3185.6493,,
0.50000,0.67398,2.00000,-0.0416666670,9.3390,3.0212,6.0424,9.0636,12.0848,15.1060,18.1272,21.1485,27.1909,33.2333,39.2757,45.3181,57.4029,81.5726,93.6574,117.8271,141.9967,166.1664,190.3361,238.6754,335.3540,474.3295,3012.1436,,
0.51000,0.67014,1.96078,-0.0442170000,8.8372,2.8589,5.7178,8.5766,11.4355,14.2944,17.1533,20.0121,25.7299,31.4476,37.1654,42.8832,54.3187,77.1897,88.6252,111.4962,134.3672,157.2382,180.1092,225.8513,317.3353,448.8436,2850.3001,,
0.52000,0.66616,1.92308,-0.0468693330,8.3685,2.7072,5.4145,8.1217,10.8290,13.5362,16.2435,18.9507,24.3652,29.7797,35.1941,40.6086,51.4376,73.0955,83.9245,105.5824,127.2404,148.8983,170.5563,213.8721,300.5039,425.0370,2699.1204,,
0.53000,0.66205,1.88679,-0.0496256670,7.9300,2.5654,5.1308,7.6962,10.2616,12.8270,15.3924,17.9578,23.0886,28.2194,33.3503,38.4811,48.7427,69.2659,79.5275,100.0508,120.5740,141.0972,161.6205,202.6669,284.7599,402.7685,2557.7082,,
0.54000,0.65779,1.85185,-0.0524880000,7.5194,2.4326,4.8651,7.2977,9.7302,12.1628,14.5953,17.0279,21.8930,26.7581,31.6232,36.4883,46.2185,65.6790,75.4092,94.8696,114.3301,133.7905,153.2509,192.1718,270.0135,381.9110,2425.2568,,
0.55000,0.65340,1.81818,-0.0554583330,7.1342,2.3080,4.6159,6.9239,9.2319,11.5398,13.8478,16.1557,20.7717,25.3876,30.0035,34.6194,43.8513,62.3150,71.5468,90.0106,108.4743,126.9380,145.4017,182.3291,256.1839,362.3502,2301.0390,,
0.56000,0.64886,1.78571,-0.0585386670,6.7726,2.1910,4.3819,6.5729,8.7639,10.9549,13.1458,15.3368,19.7187,24.1007,28.4826,32.8646,41.6284,59.1562,67.9201,85.4479,102.9756,120.5034,138.0312,173.0867,243.1978,343.9824,2184.3978,,
0.57000,0.64417,1.75439,-0.0617310000,6.4326,2.0810,4.1620,6.2429,8.3239,10.4049,12.4859,14.5669,18.7288,22.8908,27.0528,31.2147,39.5386,56.1865,64.5104,81.1583,97.8061,114.4540,131.1018,164.3975,230.9890,326.7141,2074.7386,,
0.58000,0.63932,1.72414,-0.0650373330,6.1126,1.9775,3.9549,5.9324,7.9098,9.8873,11.8647,13.8422,17.7971,21.7520,25.7069,29.6618,37.5716,53.3913,61.3011,77.1207,92.9404,108.7600,124.5796,156.2189,219.4974,310.4603,1971.5221,,
0.59000,0.63432,1.69492,-0.0684596670,5.8110,1.8799,3.7598,5.6397,7.5196,9.3995,11.2794,13.1593,16.9191,20.6789,24.4387,28.1985,35.7181,50.7572,58.2768,73.3160,88.3552,103.3944,118.4336,148.5119,208.6687,295.1440,1874.2583,,
0.60000,0.62915,1.66667,-0.0720000000,5.5265,1.7879,3.5757,5.3636,7.1515,8.9393,10.7272,12.5151,16.0908,19.6665,23.2422,26.8180,33.9694,48.2724,55.4238,69.7267,84.0297,98.3326,112.6355,141.2413,198.4530,280.6948,1782.5014,,
0.61000,0.62382,1.63934,-0.0756603330,5.2579,1.7009,3.4019,5.1028,6.8038,8.5047,10.2057,11.9066,15.3085,18.7104,22.1123,25.5142,32.3180,45.9256,52.7294,66.3370,79.9445,93.5521,107.1597,134.3749,188.8052,267.0488,1695.8450,,
0.62000,0.61831,1.61290,-0.0794426670,5.0039,1.6188,3.2375,4.8563,6.4751,8.0939,9.7126,11.3314,14.5690,17.8065,21.0441,24.2816,30.7567,43.7069,50.1820,63.1322,76.0824,89.0326,101.9828,127.8832,179.6839,254.1475,1613.9178,,
0.63000,0.61263,1.58730,-0.0833490000,4.7635,1.5410,3.0820,4.6230,6.1640,7.7050,9.2460,10.7870,13.8690,16.9510,20.0330,23.1151,29.2791,41.6071,47.7711,60.0991,72.4272,84.7552,97.0832,121.7393,171.0514,241.9376,1536.3805,,
0.64000,0.60676,1.56250,-0.0873813330,4.5357,1.4673,2.9346,4.4020,5.8693,7.3366,8.8039,10.2713,13.2059,16.1406,19.0752,22.0099,27.8792,39.6177,45.4870,57.2256,68.9642,80.7028,92.4414,115.9186,162.8730,230.3699,1462.9219,,
0.65000,0.60071,1.53846,-0.0915416670,4.3197,1.3974,2.7949,4.1923,5.5898,6.9872,8.3847,9.7821,12.5770,15.3719,18.1668,20.9617,26.5515,37.7311,43.3209,54.5005,65.6801,76.8597,88.0393,110.3985,155.1168,219.3995,1393.2566,,
0.66000,0.59445,1.51515,-0.0958320000,4.1147,1.3311,2.6622,3.9933,5.3245,6.6556,7.9867,9.3178,11.9800,14.6423,17.3045,19.9667,25.2912,35.9401,41.2646,51.9135,62.5624,73.2114,83.8603,105.1581,147.7538,208.9852,1327.1223,,
0.67000,0.58800,1.49254,-0.1002543330,3.9198,1.2681,2.5362,3.8042,5.0723,6.3404,7.6085,8.8766,11.4127,13.9489,16.4851,19.0212,24.0935,34.2382,39.3105,49.4552,59.5998,69.7445,79.8891,100.1784,140.7571,199.0888,1264.2773,,
0.68000,0.58134,1.47059,-0.1048106670,3.7345,1.2081,2.4162,3.6244,4.8325,6.0406,7.2487,8.4569,10.8731,13.2894,15.7056,18.1218,22.9543,32.6193,37.4518,47.1168,56.7818,66.4468,76.1118,95.4417,134.1017,189.6754,1204.4989,,
0.69000,0.57445,1.44928,-0.1095030000,3.5580,1.1510,2.3021,3.4531,4.6041,5.7552,6.9062,8.0572,10.3593,12.6614,14.9634,17.2655,21.8697,31.0779,35.6821,44.8903,54.0986,63.3069,72.5152,90.9317,127.7648,180.7124,1147.5814,,
0.70000,0.56734,1.42857,-0.1143333330,3.3898,1.0966,2.1932,3.2899,4.3865,5.4831,6.5797,7.6764,9.8696,12.0629,14.2561,16.4494,20.8359,29.6089,33.9953,42.7683,51.5413,60.3143,69.0873,86.6333,121.7253,172.1700,1093.3342,,
0.71000,0.56000,1.40845,-0.1193036670,3.2294,1.0447,2.0894,3.1341,4.1789,5.2236,6.2683,7.3130,9.4024,11.4919,13.5813,15.6707,19.8496,28.2073,32.3862,40.7439,49.1016,57.4593,65.8171,82.5325,115.9634,164.0203,1041.5810,,
0.72000,0.55241,1.38889,-0.1244160000,3.0761,0.9951,1.9903,2.9854,3.9806,4.9757,5.9709,6.9660,8.9563,10.9466,12.9369,14.9271,18.9077,26.8689,30.8494,38.8106,46.7717,54.7329,62.6940,78.6163,110.4609,156.2375,992.1576,,
0.73000,0.54456,1.36986,-0.1296723330,2.9296,0.9478,1.8955,2.8433,3.7910,4.7388,5.6865,6.6343,8.5298,10.4253,12.3208,14.2163,18.0073,25.5894,29.3804,36.9624,44.5445,52.1265,59.7086,74.8726,105.2008,148.7975,944.9115,,
0.74000,0.53644,1.35135,-0.1350746670,2.7895,0.9024,1.8048,2.7072,3.6096,4.5120,5.4144,6.3169,8.1217,9.9265,11.7313,13.5361,17.1457,24.3650,27.9746,35.1939,42.4132,49.6324,56.8517,71.2902,100.1672,141.6780,899.7004,,
0.75000,0.52805,1.33333,-0.1406250000,2.6552,0.8590,1.7179,2.5769,3.4359,4.2948,5.1538,6.0128,7.7307,9.4486,11.1666,12.8845,16.3204,23.1921,26.6280,33.4998,40.3715,47.2432,54.1150,67.8585,95.3455,134.8580,856.3912,,
0.76000,0.51936,1.31579,-0.1463253330,2.5264,0.8173,1.6346,2.4519,3.2692,4.0866,4.9039,5.7212,7.3558,8.9904,10.6250,12.2597,15.5289,22.0674,25.3366,31.8751,38.4136,44.9521,51.4906,64.5676,90.7215,128.3178,814.8591,,
0.77000,0.51035,1.29870,-0.1521776670,2.4028,0.7773,1.5546,2.3320,3.1093,3.8866,4.6639,5.4412,6.9959,8.5505,10.1051,11.6598,14.7691,20.9876,24.0969,30.3154,36.5340,42.7525,48.9711,61.4082,86.2824,122.0390,774.9867,,
0.78000,0.50102,1.28205,-0.1581840000,2.2840,0.7389,1.4778,2.2166,2.9555,3.6944,4.4333,5.1722,6.6499,8.1277,9.6054,11.0832,14.0387,19.9498,22.9053,28.8163,34.7274,40.6384,46.5494,58.3715,82.0157,116.0042,736.6635,,
0.79000,0.49134,1.26582,-0.1643463330,2.1696,0.7019,1.4038,2.1057,2.8076,3.5095,4.2113,4.9132,6.3170,7.7208,9.1246,10.5284,13.3359,18.9510,21.7586,27.3737,32.9888,38.6040,44.2191,55.4493,77.9098,110.1968,699.7845,,
0.80000,0.48129,1.25000,-0.1706666670,2.0595,0.6662,1.3325,1.9987,2.6650,3.3312,3.9975,4.6637,5.9962,7.3287,8.6612,9.9937,12.6587,17.9887,20.6537,25.9837,31.3137,36.6437,41.9737,52.6336,73.9536,104.6010,664.2498,,
0.81000,0.47084,1.23457,-0.1771470000,1.9532,0.6319,1.2637,1.8956,2.5274,3.1593,3.7912,4.4230,5.6867,6.9505,8.2142,9.4779,12.0053,17.0602,19.5876,24.6425,29.6974,34.7523,39.8072,49.9169,70.1364,99.2019,629.9640,,
0.82000,0.45998,1.21951,-0.1837893330,1.8505,0.5986,1.1973,1.7959,2.3945,2.9932,3.5918,4.1904,5.3877,6.5849,7.7822,8.9795,11.3740,16.1630,18.5576,23.3466,28.1356,32.9247,37.7137,47.2918,66.4480,93.9850,596.8349,,
0.83000,0.44866,1.20482,-0.1905956670,1.7510,0.5665,1.1329,1.6994,2.2659,2.8324,3.3988,3.9653,5.0983,6.2312,7.3641,8.4971,10.7630,15.2948,17.5607,22.0924,26.6242,31.1560,35.6878,44.7513,62.8785,88.9362,564.7733,,
0.84000,0.43685,1.19048,-0.1975680000,1.6547,0.5353,1.0706,1.6059,2.1412,2.6765,3.2118,3.7471,4.8177,5.8883,6.9589,8.0295,10.1706,14.4530,16.5942,20.8766,25.1590,29.4414,33.7237,42.2885,59.4180,84.0417,533.6914,,
0.85000,0.42452,1.17647,-0.2047083330,1.5611,0.5050,1.0100,1.5151,2.0201,2.5251,3.0301,3.5351,4.5452,5.5552,6.5652,7.5753,9.5953,13.6355,15.6555,19.6957,23.7358,27.7760,31.8161,39.8964,56.0569,79.2877,503.5024,,
0.86000,0.41161,1.16279,-0.2120186670,1.4700,0.4755,0.9511,1.4266,1.9022,2.3777,2.8533,3.3288,4.2799,5.2310,6.1821,7.1332,9.0354,12.8397,14.7419,18.5463,22.3506,26.1550,29.9594,37.5681,52.7856,74.6606,474.1189,,
0.87000,0.39806,1.14943,-0.2195010000,1.3811,0.4468,0.8936,1.3404,1.7872,2.2340,2.6808,3.1275,4.0211,4.9147,5.8083,6.7019,8.4890,12.0634,13.8505,17.4249,20.9992,24.5736,28.1479,35.2966,49.5939,70.1463,445.4515,,
0.88000,0.38381,1.13636,-0.2271573330,1.2941,0.4187,0.8373,1.2560,1.6747,2.0933,2.5120,2.9306,3.7680,4.6053,5.4426,6.2799,7.9546,11.3039,12.9786,16.3279,19.6772,23.0265,26.3758,33.0744,46.4716,65.7301,417.4071,,
0.89000,0.36877,1.12360,-0.2349896670,1.2088,0.3911,0.7821,1.1732,1.5642,1.9553,2.3464,2.7374,3.5195,4.3017,5.0838,5.8659,7.4301,10.5586,12.1228,15.2513,18.3798,21.5083,24.6367,30.8937,43.4076,61.3963,389.8861,,
0.90000,0.35286,1.11111,-0.2430000000,1.1248,0.3639,0.7277,1.0916,1.4555,1.8194,2.1832,2.5471,3.2748,4.0026,4.7303,5.4581,6.9135,9.8245,11.2800,14.1910,17.1019,20.0129,22.9239,28.7458,40.3897,57.1277,362.7791,,
0.90100,0.35121,1.10988,-0.2438109000,1.1164,0.3612,0.7223,1.0835,1.4447,1.8059,2.1670,2.5282,3.2505,3.9729,4.6952,5.4176,6.8622,9.7516,11.1963,14.0856,16.9750,19.8644,22.7537,28.5324,40.0899,56.7037,360.0866,,
0.90200,0.34955,1.10865,-0.2446236030,1.1081,0.3585,0.7169,1.0754,1.4339,1.7924,2.1508,2.5093,3.2263,3.9432,4.6601,5.3771,6.8110,9.6788,11.1126,13.9804,16.8482,19.7160,22.5838,28.3193,39.7904,56.2801,357.3968,,
0.90300,0.34789,1.10742,-0.2454381090,1.0998,0.3558,0.7116,1.0673,1.4231,1.7789,2.1347,2.4904,3.2020,3.9135,4.6251,5.3367,6.7598,9.6060,11.0291,13.8753,16.7215,19.5677,22.4140,28.1064,39.4913,55.8570,354.7097,,
0.90400,0.34621,1.10619,-0.2462544210,1.0914,0.3531,0.7062,1.0593,1.4123,1.7654,2.1185,2.4716,3.1778,3.8839,4.5901,5.2963,6.7086,9.5333,10.9456,13.7703,16.5950,19.4196,22.2443,27.8937,39.1924,55.4342,352.0251,,
